617,VXRL,4,05/17/2014 11:38:52.344812
246,Knights Of The Round Table,4,05/17/2014 12:50:45.907556
938,Eindbazen,4,05/17/2014 13:07:52.703826
116,dcua,4,05/17/2014 15:38:21.085253
605,lafwd,4,05/17/2014 18:29:55.154237
655,du1iqvw,4,05/17/2014 20:00:24.118005
804,0nly\x0f,4,05/17/2014 20:54:58.992528
681,1338-offbyone,4,05/17/2014 22:23:05.870872
174,rand0ml0l2,4,05/17/2014 23:25:23.12902
731,LSE,4,05/18/2014 00:58:50.30757
503,JmpOnOverflow,4,05/18/2014 02:37:50.590408
798,PistonsAreBoring,4,05/18/2014 02:43:15.284368
103,mochigoma,4,05/18/2014 02:56:59.693997
8,Batman's Kitchen,4,05/18/2014 04:51:23.483173
75,WeLoveCP,4,05/18/2014 05:58:05.392158
637,igloosec,4,05/18/2014 07:25:24.737506
168,Shadow Cats,4,05/18/2014 08:11:41.538071
778,Defragmented Brains,4,05/18/2014 08:13:53.746491
401,G4ND4LF_7H3_GR3Y,4,05/18/2014 09:36:33.012492
328,nonbei,4,05/18/2014 09:59:16.773701
477,PiggyBird,4,05/18/2014 12:24:42.715517
808,Hexcellents,4,05/18/2014 13:32:46.121804
230,rentjong,4,05/18/2014 13:36:15.483098
665,Team Discovery Channel,4,05/18/2014 14:34:57.443292
648,RDot.Org,4,05/18/2014 15:24:42.207428
684,The_Clonolons,4,05/18/2014 16:13:27.398171
6,sanityhero,4,05/18/2014 19:54:37.967002
244,blah,4,05/18/2014 20:14:48.973584
955,monkeyshoe,4,05/18/2014 20:20:17.318685
40,SubProto,4,05/18/2014 20:58:50.883729
155,Pwnlandia,4,05/18/2014 21:48:14.66932
410,Knightsec,3,05/17/2014 03:21:29.291623
982,nutgallore,3,05/17/2014 03:57:51.349752
304,III_tw,3,05/17/2014 04:30:26.985116
460,Without Proper Instructions,3,05/17/2014 04:44:18.937434
316,pwndora,3,05/17/2014 05:26:46.065937
300,SEAL,3,05/17/2014 05:51:56.948148
701,Short Bus Riders,3,05/17/2014 06:08:44.900681
564,Vegan Zombies,3,05/17/2014 06:27:55.979953
645,paranoids,3,05/17/2014 08:47:44.287225
608,L1ght4Freedom,3,05/17/2014 12:01:19.024707
630,Cheddar Horsemen,3,05/17/2014 12:30:33.849371
298,DENKOSEKKA,3,05/17/2014 13:04:15.73048
11,senkihaziak,3,05/17/2014 14:35:04.687208
682,chuck14,3,05/17/2014 15:04:13.209022
1173,vzh,3,05/17/2014 15:09:48.421321
324,FirstHacks,3,05/17/2014 15:12:05.325326
732,Stand Alone Complex,3,05/17/2014 15:25:20.343263
178,Pool Party Pwn Machine,3,05/17/2014 15:38:48.156171
796,DC949,3,05/17/2014 16:02:14.1112
1115,ZenSecurity,3,05/17/2014 16:10:26.308415
614,Squareroots,3,05/17/2014 16:49:45.266508
499,Snatch The Root,3,05/17/2014 17:06:09.373397
713,balicasag,3,05/17/2014 18:32:51.08234
810,The IMPs,3,05/17/2014 19:45:10.188188
388,Bushwhackers,3,05/17/2014 19:46:12.669566
581,SDSLabs,3,05/17/2014 19:49:15.113254
